,Dataset,Task,Region,Predicted vs. Observed Evoked Responses
288,MDTB,BiologicalMotion,7Networks_RH_DorsAttn_Post_4,0.5401033481828881
289,MDTB,BiologicalMotion,7Networks_RH_DorsAttn_Post_5,0.4120697242998138
290,MDTB,BiologicalMotion,7Networks_RH_DorsAttn_PrCv_1,0.4953170589714568
291,MDTB,BiologicalMotion,7Networks_RH_Limbic_OFC_1,0.4249083086258214
292,MDTB,BiologicalMotion,7Networks_RH_Limbic_TempPole_1,0.30738951142234516
293,MDTB,BiologicalMotion,7Networks_RH_SalVentAttn_FrOperIns_1,0.4765269842563982
294,MDTB,BiologicalMotion,7Networks_RH_SalVentAttn_Med_1,0.3324111866332802
295,MDTB,BiologicalMotion,7Networks_RH_SalVentAttn_Med_2,0.4486921332103164
296,MDTB,BiologicalMotion,7Networks_RH_SalVentAttn_TempOccPar_1,0.32208659186611244
297,MDTB,BiologicalMotion,7Networks_RH_SalVentAttn_TempOccPar_2,0.3783442267156767
298,MDTB,BiologicalMotion,7Networks_RH_SomMot_1,0.3809743233151064
299,MDTB,BiologicalMotion,7Networks_RH_SomMot_2,0.40027805730378524
300,MDTB,BiologicalMotion,7Networks_RH_SomMot_3,0.37247945750290107
301,MDTB,BiologicalMotion,7Networks_RH_SomMot_4,0.2844277746800029
302,MDTB,BiologicalMotion,7Networks_RH_SomMot_5,0.31097827494199076
303,MDTB,BiologicalMotion,7Networks_RH_SomMot_6,0.21772090315167342
304,MDTB,BiologicalMotion,7Networks_RH_SomMot_7,0.24886644080784065
305,MDTB,BiologicalMotion,7Networks_RH_SomMot_8,0.34728947239994834
306,MDTB,BiologicalMotion,7Networks_RH_Vis_1,0.30749988771613895
307,MDTB,BiologicalMotion,7Networks_RH_Vis_2,0.36156885311903714
308,MDTB,BiologicalMotion,7Networks_RH_Vis_3,0.3173859145169886
309,MDTB,BiologicalMotion,7Networks_RH_Vis_4,0.31294391462022253
310,MDTB,BiologicalMotion,7Networks_RH_Vis_5,0.292240829388473
311,MDTB,BiologicalMotion,7Networks_RH_Vis_6,0.2932333491935437
312,MDTB,BiologicalMotion,7Networks_RH_Vis_7,0.3770860571851661
313,MDTB,BiologicalMotion,7Networks_RH_Vis_8,0.3683190327444511
314,MDTB,BiologicalMotion,Caudate,0.10543035847658032
315,MDTB,BiologicalMotion,Hippocampus,0.4377246674038823
316,MDTB,BiologicalMotion,Null Model,0.10130082796688507
317,MDTB,BiologicalMotion,Pallidus,0.22733321873552645
318,MDTB,BiologicalMotion,Putamen,0.23798875851779794
319,MDTB,BiologicalMotion,Thalamus,0.46278125738814924
320,MDTB,BiologicalMotion,Uniformed Evoked Model,0.15800297267134278
321,MDTB,Go/NoGo,7Networks_LH_Cont_Cing_1,0.3168572494485695
322,MDTB,Go/NoGo,7Networks_LH_Cont_PFCl_1,0.3110209929503888
323,MDTB,Go/NoGo,7Networks_LH_Cont_Par_1,0.2980943894319058
324,MDTB,Go/NoGo,7Networks_LH_Cont_pCun_1,0.41862410322629107
325,MDTB,Go/NoGo,7Networks_LH_Default_PFC_1,0.2962839845907188
326,MDTB,Go/NoGo,7Networks_LH_Default_PFC_2,0.2688063437364051
327,MDTB,Go/NoGo,7Networks_LH_Default_PFC_3,0.3389761279348594
328,MDTB,Go/NoGo,7Networks_LH_Default_PFC_4,0.3115236904503761
329,MDTB,Go/NoGo,7Networks_LH_Default_PFC_5,0.25122297807952515
330,MDTB,Go/NoGo,7Networks_LH_Default_PFC_6,0.19454616377376907
331,MDTB,Go/NoGo,7Networks_LH_Default_PFC_7,0.18889026710757933
332,MDTB,Go/NoGo,7Networks_LH_Default_Par_1,0.23060311301962574
